time,asset,AdrActCnt,CapMVRVCur,CapMrktCurUSD,HashRate,NVTAdj,PriceUSD,SplyCur,TxCnt,TxTfrValAdjUSD,VelCur1yr
2018-06-26 00:00:00+00:00,btc,601757,1.17183193,104349523004.1154074008907962627,36850961.5259309,86.81561553,6096.12876621859,17117342.33409953,189209,1201967207.9782853698286047523,29.8879177528747
2018-06-27 00:00:00+00:00,btc,591319,1.19000509,105095896985.9828538791735469814,30540865.3742304,68.43040294,6139.18968322618,17118854.83407223,189544,1535807075.1280264312603551582,29.8055646415582
2018-06-28 00:00:00+00:00,btc,566389,1.13776355,100304632985.2603133262344406084,39627403.8326791,77.30940391,5858.63577819988,17120817.33404493,195746,1297444138.8226761192528619828,29.7125263131728
2018-06-29 00:00:00+00:00,btc,584573,1.20834141,106518869341.188054430199441007,38112980.756271,81.71374546,6220.9137150789,17122704.83401763,194630,1303561215.291372680993419254,29.5899663931017
2018-06-30 00:00:00+00:00,btc,560237,1.23851505,109177747554.533744754761482404,35588942.2955908,102.69103463,6375.5412314436,17124467.33401689,177709,1063167275.951828567285767416,29.5012470461764
2018-07-01 00:00:00+00:00,btc,476547,1.23860628,108947319052.5059346959439624992,37103365.3719989,77.44021867,6361.40253886616,17126304.83401612,153443,1406857068.877595856516866664,29.4455818967913
2018-07-02 00:00:00+00:00,btc,662310,1.28633397,113188557636.73059499538635416,36328697.2314513,73.01715353,6608.367157218,17128067.33401612,206702,1550163929.49361760924960988,29.4085769929943
2018-07-03 00:00:00+00:00,btc,655359,1.26579418,111312877114.312871669417162743,30929068.6931176,59.24213494,6498.3078591467,17129517.33390629,217338,1878947766.341804557659761206,29.3379518904827
2018-07-04 00:00:00+00:00,btc,594400,1.28137705,112711825499.7932633742773930232,35728406.9386013,88.05954549,6579.33337638808,17131192.33390629,201935,1279950116.4349050356326629816,29.2758964300979
2018-07-05 00:00:00+00:00,btc,555588,1.27324533,111968645594.2585016896173632274,36528296.646182,80.72358248,6535.29840268849,17132904.83387826,202507,1387062394.2944176039910837384,29.1924724671956
2018-07-06 00:00:00+00:00,btc,640591,1.28661278,113063968657.0996461289165459284,42660784.4043001,80.03087194,6598.45909585038,17134904.83379718,200485,1412754427.3995503518699554858,29.1205258509948
2018-07-07 00:00:00+00:00,btc,460458,1.31378163,115465661540.1874294674291461448,41594264.7941926,133.7786772,6737.85608036236,17136854.83379718,164668,863109607.2907603880998065324,29.0375888701348
2018-07-08 00:00:00+00:00,btc,501981,1.30865599,114914482588.6505021896860414044,42127524.5992464,88.423996,6704.91998012858,17138829.83379718,157910,1299584816.1888877488995147608,28.9824263697034
